"","treee","locality","file","x229E_brown","NL63_brown","HKU1_brown","OC43_brown","CoV2_brown","CoV2_star","CoV2_lambda","CoV2_OU"
"40","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/feb.csv",3.703703704,5,11.53846154,3.225806452,6.11408668532542,5.84931355020373,5.85290010084305,5.86700023835008
"41","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/jan.csv",7.407407407,5,3.846153846,1.612903226,4.11806641709136,4.46731440770111,4.16594184339404,4.46660773395217
"42","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/jul.csv",3.703703704,5,15.38461538,9.677419355,9.25919820029223,8.42793808806504,9.25919820020007,8.44145435222886
"43","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/jun.csv",3.703703704,5,7.692307692,35.48387097,14.9893726399554,13.0160571844748,14.9889387481753,12.9700121955055
"44","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/mar.csv",3.703703704,5,11.53846154,11.29032258,8.61833615822584,7.87959858613206,8.61825264504368,7.88313900322403
"45","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/may.csv",3.703703704,5,11.53846154,9.677419355,8.11748626383207,7.47354157909745,8.11743606332678,7.47991125039829
"46","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/nov.csv",11.11111111,10,3.846153846,4.838709677,6.80701728657602,7.4534384255356,6.80703768506109,7.44897866130721
"47","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/oct.csv",22.22222222,20,3.846153846,6.451612903,11.4706228458127,13.1403663262938,11.4706228840127,13.1299587133812
"48","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/sep.csv",11.11111111,15,11.53846154,8.064516129,10.991138529901,11.4155045788381,11.2837605593886,11.4285143402394
"49","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/apr.csv",22.22222222,5,7.692307692,4.838709677,9.44197570714962,10.1919405849182,10.1779990725429,9.93830989725
"50","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/aug.csv",3.703703704,10,3.846153846,3.225806452,4.45674080770259,5.07899215934623,5.04037713812559,5.1939160005
"51","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/dec.csv",3.703703704,10,7.692307692,1.612903226,4.81025563069993,5.54413459758121,5.54263738788195,5.7522286555
"52","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/feb.csv",3.703703704,5,11.53846154,3.225806452,5.68342740277169,5.70164773867089,5.70387969942761,5.866992924
"53","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/jan.csv",7.407407407,5,3.846153846,1.612903226,3.94732727215992,4.47351960359639,3.98670924003136,4.46661611975
"54","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/jul.csv",3.703703704,5,15.38461538,9.677419355,9.12274740673958,8.31500736712449,9.12291074076861,8.44143460975
"55","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/jun.csv",3.703703704,5,7.692307692,35.48387097,17.0559722734006,13.3997306285852,14.705583162523,12.9699705915
"56","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/mar.csv",3.703703704,5,11.53846154,11.29032258,8.76923258487385,7.849864930019,8.76921202426015,7.883121956
"57","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/may.csv",3.703703704,5,11.53846154,9.677419355,8.152071548683,7.4202214919092,8.15207048287263,7.47989614975
"58","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/nov.csv",11.11111111,10,3.846153846,4.838709677,6.71872709510968,7.49080971143457,6.71877573718792,7.44899365825
"59","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_TreeTime_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/oct.csv",22.22222222,20,3.846153846,6.451612903,11.2324562578842,13.227546669772,11.2325517809685,13.12999724225
